,score,rank
799,-0.9484,776
969,-0.9484,777
492,-0.9484,778
490,-0.9484,779
283,-0.9484,780
282,-0.9484,781
1267,-0.9484,782
281,-0.9484,783
280,-0.9484,784
279,-0.9484,785
29,-0.9484,786
28,-0.9484,787
26,-0.9484,788
25,-0.9484,789
24,-0.9484,790
23,-0.9484,791
22,-0.9484,792
21,-0.9484,793
20,-0.9484,794
19,-0.9484,795
17,-0.9484,796
16,-0.9484,797
489,-0.9484,798
1290,-0.9484,799
488,-0.9484,800
1298,-0.9484,801
131,-0.9484,802
132,-0.9484,803
480,-0.9484,804
1306,-0.9484,805
1305,-0.9484,806
473,-0.9484,807
481,-0.9484,808
1299,-0.9484,809
482,-0.9484,810
1291,-0.9484,811
483,-0.9484,812
484,-0.9484,813
485,-0.9484,814
486,-0.9484,815
1308,-0.9484,816
487,-0.9484,817
460,-0.9484,818
459,-0.9484,819
15,-0.9484,820
618,-0.9484,821
968,-0.9484,822
1260,-0.9484,823
639,-0.9484,824
640,-0.9484,825
1238,-0.9484,826
1237,-0.9484,827
1236,-0.9484,828
1235,-0.9484,829
1234,-0.9484,830
656,-0.9484,831
1233,-0.9484,832
660,-0.9484,833
416,-0.9484,834
955,-0.9484,835
956,-0.9484,836
957,-0.9484,837
960,-0.9484,838
961,-0.9484,839
962,-0.9484,840
966,-0.9484,841
967,-0.9484,842
634,-0.9484,843
633,-0.9484,844
1192,-0.9484,845
1132,-0.9484,846
1259,-0.9484,847
620,-0.9484,848
621,-0.9484,849
622,-0.9484,850
250,-0.9484,851
249,-0.9484,852
974,-0.9484,853
975,-0.9484,854
1151,-0.9484,855
632,-0.9484,856
1152,-0.9484,857
1153,-0.9484,858
1170,-0.9484,859
1171,-0.9484,860
1172,-0.9484,861
1178,-0.9484,862
248,-0.9484,863
1185,-0.9484,864
670,-0.9484,865
858,-0.9484,866
415,-0.9484,867
267,-0.9484,868
265,-0.9484,869
264,-0.9484,870
521,-0.9484,871
525,-0.9484,872
526,-0.9484,873
527,-0.9484,874
529,-0.9484,875
530,-0.9484,876
830,-0.9484,877
829,-0.9484,878
739,-0.9484,879
752,-0.9484,880
828,-0.9484,881
586,-0.9484,882
753,-0.9484,883
589,-0.9484,884
591,-0.9484,885
592,-0.9484,886
593,-0.9484,887
266,-0.9484,888
268,-0.9484,889
1049,-0.9484,890
269,-0.9484,891
299,-0.9484,892
1036,-0.9484,893
1035,-0.9484,894
1034,-0.9484,895
1033,-0.9484,896
1031,-0.9484,897
1029,-0.9484,898
1028,-0.9484,899
1027,-0.9484,900
1026,-0.9484,901
1025,-0.9484,902
1024,-0.9484,903
1018,-0.9484,904
835,-0.9484,905
834,-0.9484,906
1011,-0.9484,907
832,-0.9484,908
528,-0.9484,909
831,-0.9484,910
755,-0.9484,911
756,-0.9484,912
596,-0.9484,913
597,-0.9484,914
778,-0.9484,915
779,-0.9484,916
780,-0.9484,917
781,-0.9484,918
229,-0.9484,919
782,-0.9484,920
783,-0.9484,921
784,-0.9484,922
785,-0.9484,923
786,-0.9484,924
787,-0.9484,925
788,-0.9484,926
789,-0.9484,927
800,-0.9484,928
791,-0.9484,929
792,-0.9484,930
793,-0.9484,931
795,-0.9484,932
796,-0.9484,933
777,-0.9484,934
776,-0.9484,935
801,-0.9484,936
757,-0.9484,937
598,-0.9484,938
599,-0.9484,939
600,-0.9484,940
601,-0.9484,941
602,-0.9484,942
604,-0.9484,943
605,-0.9484,944
606,-0.9484,945
827,-0.9484,946
802,-0.9484,947
762,-0.9484,948
763,-0.9484,949
824,-0.9484,950
766,-0.9484,951
767,-0.9484,952
768,-0.9484,953
769,-0.9484,954
823,-0.9484,955
1040,-0.9484,956
1050,-0.9484,957
853,-0.9484,958
876,-0.9484,959
879,-0.9484,960
880,-0.9484,961
881,-0.9484,962
693,-0.9484,963
882,-0.9484,964
375,-0.9484,965
374,-0.9484,966
330,-0.9484,967
883,-0.9484,968
371,-0.9484,969
370,-0.9484,970
369,-0.9484,971
368,-0.9484,972
329,-0.9484,973
886,-0.9484,974
328,-0.9484,975
327,-0.9484,976
694,-0.9484,977
695,-0.9484,978
878,-0.9484,979
875,-0.9484,980
1051,-0.9484,981
874,-0.9484,982
539,-0.9484,983
856,-0.9484,984
857,-0.9484,985
538,-0.9484,986
537,-0.9484,987
536,-0.9484,988
684,-0.9484,989
798,-0.9484,990
685,-0.9484,991
686,-0.9484,992
687,-0.9484,993
688,-0.9484,994
689,-0.9484,995
690,-0.9484,996
691,-0.9484,997
871,-0.9484,998
872,-0.9484,999
873,-0.9484,1000
692,-0.9484,1001
696,-0.9484,1002
697,-0.9484,1003
698,-0.9484,1004
699,-0.9484,1005
333,-0.9484,1006
332,-0.9484,1007
