vehicle_id,route_id,time_step,speed,co_emission,co2_emission,nox_emission,fuel_consumption
6,!6,62,22.7729,146.7472,9343.9736,3.9367,3106.2817
4,!4,63,9.579,33.9461,6342.5432,1.9378,2050.7496
5,!5,63,10.8301,4.565,2016.9562,0.6979,608.5032
6,!6,63,22.7219,43.8035,3755.7362,1.4176,1196.5718
4,!4,64,11.5694,67.5643,8702.9987,2.989,2789.7515
5,!5,64,10.3424,0.4686,1440.3598,0.5558,454.3732
6,!6,64,22.0695,-0.0009,-0.0002,0.0002,0.0008
4,!4,65,13.0678,50.2914,6460.1863,2.2554,2050.6809
5,!5,65,11.7316,26.7921,4434.5897,1.5041,1414.0814
6,!6,65,21.7973,-0.0001,-0.0001,-0.0001,-0.0
4,!4,66,14.3319,46.6362,5120.111,1.9289,1705.148
5,!5,66,8.5223,-0.0004,-0.0001,-0.0009,-0.0007
6,!6,66,22.3666,109.5016,7448.0335,3.0769,2389.2666
4,!4,67,12.479,-0.0005,0.0004,-0.0003,-0.0005
5,!5,67,4.245,-0.0003,0.0001,-0.0012,-0.0002
6,!6,67,22.5729,57.5878,4417.9737,1.7115,1447.9607
4,!4,68,7.4449,-0.0004,-0.0007,0.0003,0.0007
5,!5,68,5.1141,3.8001,2580.4283,0.8492,861.0738
6,!6,68,22.6813,0.0007,0.0006,0.0004,-0.0003
4,!4,69,6.0278,-0.0008,0.0,-0.0012,0.0006
5,!5,69,4.4235,-0.0001,0.0009,0.0013,-0.0
6,!6,69,23.2399,109.3724,7544.3862,3.0593,2431.3449
4,!4,70,5.5626,0.0003,0.0003,0.0,-0.0002
5,!5,70,7.3645,24.2539,5910.0819,1.7181,2051.8239
6,!6,70,20.4771,0.0001,0.0004,-0.0,-0.0008
7,!7,70,12.2119,5.7019,2021.0693,0.7064,602.7056
4,!4,71,6.8099,11.0676,3797.2576,1.1215,1190.4078
5,!5,71,8.803,24.6017,5383.6257,1.6033,1671.473
6,!6,71,23.6472,87.2892,6068.9003,2.5034,2026.863
7,!7,71,11.0261,0.0002,-0.0001,-0.0001,0.0002
4,!4,72,8.7181,25.465,5541.4895,1.665,1622.265
5,!5,72,11.0398,55.7943,7375.7439,2.5696,2508.5771
6,!6,72,22.8011,26.8535,2727.3305,1.0106,851.9437
7,!7,72,12.8037,37.8956,5131.2684,1.7893,1768.27
4,!4,73,10.5894,32.065,5286.5479,1.7335,1789.029
5,!5,73,11.8901,29.2788,4266.0894,1.5142,1414.4694
6,!6,73,22.8149,44.388,3588.9107,1.454,1165.4457
7,!7,73,11.8738,0.0006,-0.0003,-0.0,-0.0
4,!4,74,11.4829,41.6589,5981.1479,2.0281,1916.2838
5,!5,74,7.1537,0.0002,-0.0007,-0.0006,-0.0005
6,!6,74,22.2314,2.7021,1348.8893,0.426,429.0924
7,!7,74,11.9358,11.1163,2409.162,0.9252,817.0387
5,!5,75,4.7451,0.0004,-0.001,-0.0006,0.0005
6,!6,75,23.0774,83.9254,6103.3119,2.6353,2067.4993
7,!7,75,10.9903,-0.0008,0.0001,-0.0003,0.0004
5,!5,76,4.6615,0.9081,1782.2355,0.6482,598.3209
6,!6,76,21.9011,36.3466,3228.5968,1.3108,1078.9254
7,!7,76,11.1819,11.8126,2629.8327,0.9587,900.9174
5,!5,77,4.5847,-0.0008,-0.0008,-0.0004,-0.0
6,!6,77,21.5857,-0.0001,0.0012,0.0005,-0.0003
7,!7,77,11.7636,5.2047,1891.462,0.7181,631.4077
5,!5,78,4.9564,2.5964,2273.4885,0.7475,748.2804
6,!6,78,22.3342,127.2972,8297.8255,3.5446,2919.6233
