,speed,co_emission,co2_emission,nox_emission,fuel_consumption
!311,18.2251,74.0361,5921.1641,2.3187,1936.36
!312,8.8478,25.6998,4038.987,1.3168,1311.272
!313,10.4458,19.4611,3083.0336,1.0419,1004.2725
!314,17.6494,114.7527,8001.4523,3.2762,2542.9141
!315,11.478,23.6674,2883.7814,1.0108,933.551
!316,11.9726,51.8127,5541.2879,2.0183,1802.8071
!317,16.3453,72.7401,5503.4846,2.2068,1801.6247
!318,11.3873,47.4646,5435.1107,1.9167,1773.1116
!319,12.6053,25.4663,3492.2797,1.218,1138.5966
!320,12.0275,37.6647,4593.7663,1.6199,1516.144
!321,9.1671,14.259,2795.7892,0.9209,898.8692
!322,9.1112,14.8884,2937.1064,0.9411,942.0953
!323,6.8359,5.1127,2030.0342,0.6309,669.37
!324,14.7398,64.077,5587.9301,2.1562,1826.1345
!325,13.4753,23.459,3159.7673,1.1092,1029.4661
!326,7.9831,16.3073,3201.5655,1.0312,1037.0988
!327,9.8748,15.2787,2843.8503,0.9388,913.359
!328,10.4864,19.0492,3100.1007,1.0191,1004.6889
!329,9.3468,13.545,2486.2174,0.8221,808.5342
!330,9.4481,18.4058,3288.0658,1.0854,1059.6478
!331,13.9022,79.0653,6341.6055,2.4843,2067.0836
!332,15.3732,71.3244,5889.0393,2.3064,1914.0192
!333,14.748,65.643,5868.7244,2.2202,1889.2362
!334,15.94,70.7592,5844.3952,2.2645,1902.6858
!335,9.5946,13.4528,2614.3084,0.8806,855.4581
!336,19.0768,133.9749,8944.3901,3.6693,2839.7227
!337,16.0968,89.8564,6589.4759,2.6439,2135.4988
!338,9.2365,18.322,3284.0941,1.0793,1082.5447
!339,11.5269,39.4882,4901.2753,1.6702,1564.2799
!340,11.6764,23.2366,3334.8224,1.1372,1083.6432
!341,11.3982,3.0302,820.1901,0.2964,259.8653
!342,9.9323,17.9352,3047.4234,0.9955,983.3669
!343,10.3288,16.7608,2830.508,0.9572,913.7247
!344,19.3988,107.5122,7438.2135,3.0545,2404.5641
!345,7.967,20.2836,3724.2231,1.194,1222.0818
!346,20.0694,79.8862,5857.8066,2.3558,1890.5917
!347,7.4116,11.167,2625.7347,0.8261,837.4055
!348,12.5426,21.1332,2887.1757,1.0313,938.0812
!349,17.5635,49.2185,4396.7,1.687,1426.0295
!350,10.2562,19.277,3094.8057,1.049,1022.9753
!351,7.6448,11.4226,2624.0356,0.8423,838.6189
!352,11.0776,20.8809,3331.2773,1.1137,1089.7298
!353,9.2592,25.0398,3716.727,1.261,1203.08
!354,10.1494,17.6717,3056.3747,1.018,985.8561
!355,10.2014,14.7198,2257.6886,0.7807,736.9559
!356,7.5658,22.8459,4021.6873,1.2908,1314.3258
!357,8.567,11.993,2265.8236,0.7331,731.4274
!358,10.0669,21.3181,3153.9591,1.0851,1025.7117
!359,11.392,7.5327,1765.5135,0.6123,563.5719
