time_step,vehicle_id,route_id,speed,co_emission,co2_emission,nox_emission,fuel_consumption,noise,pos_x,pos_y,lane_id,waiting_time,acceleration
45,4,!4,13.927,24.67,3542.592,1.283,1148.464,65.776,586.016,2534.065,464275475#2_0,0.0,0.462
46,2,!2,13.516,23.196,3482.922,1.254,1129.12,65.529,741.052,2538.511,-464275053#5_0,0.0,0.467
46,3,!3,14.781,110.968,10735.38,3.913,3480.226,73.618,881.903,2572.679,:3725790449_3_0,0.0,2.526
46,4,!4,13.58,0.0,0.0,0.0,0.0,63.602,576.025,2524.868,464275475#2_0,0.0,-0.346
47,2,!2,13.324,0.988,1422.54,0.537,461.183,63.731,747.563,2550.084,-464275053#5_0,0.0,-0.192
47,3,!3,14.202,0.0,0.0,0.0,0.0,63.654,882.148,2586.881,:3725790449_3_0,0.0,-0.579
47,4,!4,13.224,0.0,0.0,0.0,0.0,63.314,566.297,2515.912,464275475#2_0,0.0,-0.356
48,2,!2,13.288,6.02,1899.96,0.703,615.954,64.06,752.123,2562.54,:4594102489_7_0,0.0,-0.036
48,3,!3,14.916,39.226,4602.101,1.688,1491.936,67.117,882.337,2601.796,368732203#6_0,0.0,0.713
48,4,!4,11.87,0.0,0.0,0.0,0.0,60.588,557.565,2507.874,464275475#2_0,0.0,-1.355
49,2,!2,13.485,14.054,2636.233,0.959,854.639,64.771,754.85,2575.699,-464275053#4_0,0.0,0.197
49,3,!3,14.228,0.0,0.0,0.0,0.0,63.502,882.516,2616.022,368732203#6_0,0.0,-0.688
49,4,!4,7.712,0.0,0.0,0.0,0.0,53.815,551.891,2502.651,464275475#2_0,0.0,-4.158
50,2,!2,11.049,0.0,0.0,0.0,0.0,58.846,755.204,2586.741,-464275053#4_0,0.0,-2.436
50,3,!3,14.545,21.703,3178.647,1.163,1030.48,65.786,882.15,2630.554,368732203#6_0,0.0,0.317
50,4,!4,6.397,0.0,0.0,0.0,0.0,55.034,547.37,2498.141,:4594104816_1_0,0.0,-1.315
