route_id,speed,bus_count,message_count
946,-1,0,0
947,-1,0,0
948,-1,0,0
949,-1,0,0
950,-1,0,0
954,-1,0,0
1274,-1,0,0
1273,23,2,23
1272,-1,0,0
1271,20,2,21
1270,20,3,18
1269,16,3,7
1210,-1,0,0
1209,-1,0,0
1208,-1,0,0
1207,-1,0,0
1206,-1,0,0
1205,-1,0,0
1204,-1,0,0
1203,-1,0,0
1202,14,1,6
1201,-1,0,0
1200,-1,0,0
1127,-1,0,0
1126,24,1,4
1125,-1,0,0
1051,-1,0,0
1050,-1,0,0
1049,-1,0,0
1040,-1,0,0
1038,18,1,6
1037,18,2,4
1036,-1,0,0
1035,-1,0,0
1034,-1,0,0
1033,-1,0,0
1031,-1,0,0
1029,-1,0,0
1028,-1,0,0
1027,-1,0,0
1026,-1,0,0
1025,-1,0,0
1024,-1,0,0
1018,-1,0,0
1011,-1,0,0
927,-1,0,0
926,26,1,8
925,17,2,20
922,24,3,23
921,20,3,22
918,-1,0,0
917,-1,0,0
914,26,1,9
913,23,1,12
912,29,1,9
528,-1,0,0
500,-1,0,0
501,23,1,12
502,19,1,13
503,21,1,14
504,-1,0,0
505,33,1,1
506,-1,0,0
508,-1,0,0
509,-1,0,0
510,-1,0,0
511,-1,0,0
512,-1,0,0
513,24,1,1
514,-1,0,0
515,-1,0,0
516,25,1,10
517,23,1,9
518,22,1,11
519,29,1,8
520,31,2,3
521,-1,0,0
525,-1,0,0
526,-1,0,0
527,-1,0,0
529,-1,0,0
530,-1,0,0
531,-1,0,0
806,-1,0,0
612,47,2,4
615,38,1,2
616,-1,0,0
737,22,1,4
738,-1,0,0
739,-1,0,0
752,-1,0,0
753,-1,0,0
755,-1,0,0
756,-1,0,0
757,-1,0,0
758,-1,0,0
759,-1,0,0
760,-1,0,0
762,-1,0,0
763,-1,0,0
765,19,1,5
766,-1,0,0
767,-1,0,0
768,-1,0,0
769,-1,0,0
770,-1,0,0
776,-1,0,0
777,-1,0,0
778,-1,0,0
779,-1,0,0
780,-1,0,0
781,-1,0,0
782,-1,0,0
783,-1,0,0
784,-1,0,0
785,-1,0,0
786,-1,0,0
787,-1,0,0
788,-1,0,0
789,-1,0,0
790,-1,0,0
791,-1,0,0
792,-1,0,0
793,-1,0,0
795,-1,0,0
796,-1,0,0
797,33,1,1
798,-1,0,0
799,-1,0,0
800,-1,0,0
801,-1,0,0
802,-1,0,0
803,30,1,1
804,26,1,1
805,-1,0,0
807,44,2,5
808,25,2,14
809,23,1,3
810,24,1,5
811,26,1,3
812,-1,0,0
813,-1,0,0
814,-1,0,0
815,12,1,5
816,-1,0,0
817,-1,0,0
821,-1,0,0
822,-1,0,0
823,-1,0,0
824,-1,0,0
825,5,1,7
826,-1,0,0
827,-1,0,0
828,-1,0,0
829,-1,0,0
830,-1,0,0
831,-1,0,0
832,-1,0,0
834,-1,0,0
835,-1,0,0
837,-1,0,0
838,-1,0,0
889,51,1,1
890,-1,0,0
891,-1,0,0
892,-1,0,0
893,-1,0,0
894,-1,0,0
895,-1,0,0
896,-1,0,0
898,-1,0,0
899,-1,0,0
900,-1,0,0
903,-1,0,0
904,-1,0,0
907,-1,0,0
908,-1,0,0
911,18,1,8
1277,22,1,6
1199,-1,0,0
1198,-1,0,0
1197,-1,0,0
1196,-1,0,0
775,-1,0,0
774,-1,0,0
773,-1,0,0
772,-1,0,0
771,-1,0,0
721,-1,0,0
719,-1,0,0
718,-1,0,0
717,-1,0,0
716,-1,0,0
715,-1,0,0
714,32,1,4
713,33,1,12
712,34,1,11
711,33,1,11
710,24,1,13
709,30,1,15
708,27,1,5
707,-1,0,0
706,-1,0,0
705,-1,0,0
704,27,1,9
703,28,1,10
702,25,1,10
700,-1,0,0
699,-1,0,0
698,-1,0,0
697,-1,0,0
696,-1,0,0
695,-1,0,0
694,-1,0,0
693,-1,0,0
692,-1,0,0
691,-1,0,0
690,-1,0,0
689,-1,0,0
688,-1,0,0
687,-1,0,0
686,-1,0,0
685,-1,0,0
684,-1,0,0
683,-1,0,0
680,-1,0,0
679,-1,0,0
674,-1,0,0
673,-1,0,0
670,-1,0,0
660,-1,0,0
656,-1,0,0
653,24,1,5
652,-1,0,0
651,-1,0,0
650,27,1,4
649,33,1,10
648,29,1,10
647,29,1,12
646,30,1,9
645,29,1,9
644,-1,0,0
643,-1,0,0
642,-1,0,0
641,30,1,7
640,-1,0,0
639,-1,0,0
638,-1,0,0
637,-1,0,0
636,-1,0,0
635,27,2,8
634,-1,0,0
633,-1,0,0
632,-1,0,0
629,22,1,9
628,18,1,11
627,-1,0,0
626,26,1,5
625,25,1,12
624,29,1,8
623,28,1,12
622,-1,0,0
621,-1,0,0
620,-1,0,0
618,-1,0,0
499,-1,0,0
498,0,1,13
497,-1,0,0
492,-1,0,0
491,-1,1,4
490,-1,0,0
489,-1,0,0
488,-1,0,0
487,-1,0,0
486,-1,0,0
485,-1,0,0
484,-1,0,0
483,-1,0,0
482,-1,0,0
481,-1,0,0
480,-1,0,0
479,-1,0,0
478,-1,0,0
477,29,1,3
474,-1,0,0
473,-1,0,0
472,39,1,8
471,37,1,2
470,27,1,5
469,28,1,7
