time,segment_id,speed,street,direction,from_street,to_street,length,street_heading,bus_count,message_count,hour,day_of_week,month,record_id,start_latitude,start_longitude,end_latitude,end_longitude,start_location,end_location,comments
2026-04-30T01:10:21.000,1262,-1,Halsted,SB,Armitage,North Ave,0.5,N,0,0,1,5,4,1262-202604300610,41.91818,-87.648698,41.91092,-87.648463,"{'type': 'Point', 'coordinates': [-87.648698, 41.91818]}","{'type': 'Point', 'coordinates': [-87.648463, 41.91092]}",
2026-04-30T01:10:21.000,1261,-1,Halsted,SB,North Ave,Division,0.5,N,0,0,1,5,4,1261-202604300610,41.91092,-87.648463,41.903636,-87.648284,"{'type': 'Point', 'coordinates': [-87.648463, 41.91092]}","{'type': 'Point', 'coordinates': [-87.648284, 41.903636]}",
2026-04-30T01:10:21.000,1260,-1,Halsted,SB,Division,Chicago,0.5,N,0,0,1,5,4,1260-202604300610,41.903636,-87.648284,41.896397,-87.647935,"{'type': 'Point', 'coordinates': [-87.648284, 41.903636]}","{'type': 'Point', 'coordinates': [-87.647935, 41.896397]}",
2026-04-30T01:10:21.000,1259,-1,Halsted,SB,Chicago,Grand,0.35,N,0,0,1,5,4,1259-202604300610,41.896397,-87.647935,41.891185,-87.647807,"{'type': 'Point', 'coordinates': [-87.647935, 41.896397]}","{'type': 'Point', 'coordinates': [-87.647807, 41.891185]}",
2026-04-30T01:10:21.000,1258,20,Halsted,SB,Grand,Madison,0.65,N,1,12,1,5,4,1258-202604300610,41.891185,-87.647807,41.881776,-87.647551,"{'type': 'Point', 'coordinates': [-87.647807, 41.891185]}","{'type': 'Point', 'coordinates': [-87.647551, 41.881776]}",
2026-04-30T01:10:21.000,1257,16,Halsted,SB,Madison,Harrison,0.52,N,1,7,1,5,4,1257-202604300610,41.881776,-87.647551,41.874338,-87.647315,"{'type': 'Point', 'coordinates': [-87.647551, 41.881776]}","{'type': 'Point', 'coordinates': [-87.647315, 41.874338]}",
2026-04-30T01:10:21.000,1256,-1,Halsted,SB,Harrison,Roosevelt,0.5,S,0,0,1,5,4,1256-202604300610,41.874338,-87.647315,41.867152,-87.647109,"{'type': 'Point', 'coordinates': [-87.647315, 41.874338]}","{'type': 'Point', 'coordinates': [-87.647109, 41.867152]}",
2026-04-30T01:10:21.000,1255,25,Halsted,SB,Roosevelt,16th,0.5,S,1,4,1,5,4,1255-202604300610,41.867152,-87.647109,41.859912,-87.646897,"{'type': 'Point', 'coordinates': [-87.647109, 41.867152]}","{'type': 'Point', 'coordinates': [-87.646897, 41.859912]}",
2026-04-30T01:10:21.000,974,-1,Pershing,WB,Damen,Western,0.5,W,0,0,1,5,4,0974-202604300610,41.82324972,-87.67507424,41.82317531,-87.6849,"{'type': 'Point', 'coordinates': [-87.67507424, 41.82324972]}","{'type': 'Point', 'coordinates': [-87.6849, 41.82317531]}",
2026-04-30T01:10:21.000,975,-1,Pershing,WB,Ashland,Damen,0.5,W,0,0,1,5,4,0975-202604300610,41.82327531,-87.66551,41.82324972,-87.67507424,"{'type': 'Point', 'coordinates': [-87.66551, 41.82327531]}","{'type': 'Point', 'coordinates': [-87.67507424, 41.82324972]}",
2026-04-30T01:10:21.000,1132,-1,Cicero,SB,31st,Pershing,1.00806841738,S,0,0,1,5,4,1132-202604300610,41.8367473974,-87.7439318058,41.8221415535,-87.7437722696,"{'type': 'Point', 'coordinates': [-87.7439318058, 41.8367473974]}","{'type': 'Point', 'coordinates': [-87.7437722696, 41.8221415535]}",Outside City Limits
2026-04-30T01:10:21.000,1133,27,Cicero,SB,Cermak,31st,1.00091521838,S,2,11,1,5,4,1133-202604300610,41.8512451897,-87.7444337191,41.8367473974,-87.7439318058,"{'type': 'Point', 'coordinates': [-87.7444337191, 41.8512451897]}","{'type': 'Point', 'coordinates': [-87.7439318058, 41.8367473974]}",Outside City Limits
2026-04-30T01:10:21.000,1134,33,Cicero,SB,Roosevelt,Cermak,1.01614769431,S,1,12,1,5,4,1134-202604300610,41.8659627382,-87.7449852043,41.8512451897,-87.7444337191,"{'type': 'Point', 'coordinates': [-87.7449852043, 41.8659627382]}","{'type': 'Point', 'coordinates': [-87.7444337191, 41.8512451897]}",Outside City Limits
2026-04-30T01:10:21.000,1151,-1,Harlem,NB,Madison,Chicago,1.00590031083,S,0,0,1,5,4,1151-202604300610,41.8796992839,-87.8045488066,41.8942683013,-87.8051007941,"{'type': 'Point', 'coordinates': [-87.8045488066, 41.8796992839]}","{'type': 'Point', 'coordinates': [-87.8051007941, 41.8942683013]}",Outside City Limits
2026-04-30T01:10:21.000,1152,-1,Harlem,NB,Chicago,North Ave,1.00706228728,N,0,0,1,5,4,1152-202604300610,41.8942683013,-87.8051007941,41.9088560337,-87.8055536529,"{'type': 'Point', 'coordinates': [-87.8051007941, 41.8942683013]}","{'type': 'Point', 'coordinates': [-87.8055536529, 41.9088560337]}",Outside City Limits
2026-04-30T01:10:21.000,1153,-1,Harlem,NB,Forest Preserve Ave,Gunnison,1.00284393152,N,0,0,1,5,4,1153-202604300610,41.9538138239,-87.8071497455,41.9683436725,-87.8069823878,"{'type': 'Point', 'coordinates': [-87.8071497455, 41.9538138239]}","{'type': 'Point', 'coordinates': [-87.8069823878, 41.9683436725]}",Outside City Limits
2026-04-30T01:10:21.000,1170,-1,Harlem,SB,Chicago,Madison,1.00590031083,N,0,0,1,5,4,1170-202604300610,41.8942683013,-87.8055007941,41.8796992839,-87.8049488066,"{'type': 'Point', 'coordinates': [-87.8055007941, 41.8942683013]}","{'type': 'Point', 'coordinates': [-87.8049488066, 41.8796992839]}",Outside City Limits
2026-04-30T01:10:21.000,1171,-1,Harlem,SB,North Ave,Chicago,1.00706228728,N,0,0,1,5,4,1171-202604300610,41.9088560337,-87.8059536529,41.8942683013,-87.8055007941,"{'type': 'Point', 'coordinates': [-87.8059536529, 41.9088560337]}","{'type': 'Point', 'coordinates': [-87.8055007941, 41.8942683013]}",Outside City Limits
2026-04-30T01:10:21.000,1213,-1,Halsted,NB,43rd,Pershing,0.5,S,0,0,1,5,4,1213-202604300610,41.816184,-87.645535,41.823458,-87.645736,"{'type': 'Point', 'coordinates': [-87.645535, 41.816184]}","{'type': 'Point', 'coordinates': [-87.645736, 41.823458]}",
2026-04-30T01:10:21.000,1172,-1,Harlem,SB,Gunnison,Forest Preserve Ave,1.00284393152,N,0,0,1,5,4,1172-202604300610,41.9683436725,-87.8073823878,41.9538138239,-87.8075497455,"{'type': 'Point', 'coordinates': [-87.8073823878, 41.9683436725]}","{'type': 'Point', 'coordinates': [-87.8075497455, 41.9538138239]}",Outside City Limits
2026-04-30T01:10:21.000,1173,-1,Indiana,NB,130th,127th,0.297679101353,S,0,0,1,5,4,1173-202604300610,41.6591062937,-87.618270448,41.663379309,-87.6174865167,"{'type': 'Point', 'coordinates': [-87.618270448, 41.6591062937]}","{'type': 'Point', 'coordinates': [-87.6174865167, 41.663379309]}",Outside City Limits
2026-04-30T01:10:21.000,1178,-1,57th,EB,Stony Island,Lake Shore Dr,0.3745,E,0,0,1,5,4,1178-202604300610,41.7925056725,-87.5838907781,41.7922806244,-87.5803028186,"{'type': 'Point', 'coordinates': [-87.5838907781, 41.7925056725]}","{'type': 'Point', 'coordinates': [-87.5803028186, 41.7922806244]}",
2026-04-30T01:10:21.000,1181,-1,57th,WB,Lake Shore Dr,Stony Island,0.3745,E,0,0,1,5,4,1181-202604300610,41.7925550314,-87.5802996067,41.7927800797,-87.5838875815,"{'type': 'Point', 'coordinates': [-87.5802996067, 41.7925550314]}","{'type': 'Point', 'coordinates': [-87.5838875815, 41.7927800797]}",
2026-04-30T01:10:21.000,1182,22,Broadway,NB,Hollywood,Devon,0.882967917563,N,1,18,1,5,4,1182-202604300610,41.9854613518,-87.6599416534,41.9982075605,-87.6601728465,"{'type': 'Point', 'coordinates': [-87.6599416534, 41.9854613518]}","{'type': 'Point', 'coordinates': [-87.6601728465, 41.9982075605]}",
